StudyID,Q1,Q2,Q3,Q4,Q5
14755,5,3,5,5,5
14756,5,5,5,1,5
14757,5,1,3,5,1
14758,1,2,1,5,5
14759,5,2,3,1,1
14760,1,1,5,2,2
14761,5,1,1,1,1
14770,3,3,4,4,4
14771,5,3,2,1,3
14773,4,4,3,1,1
14774,3,2,1,2,1
14775,1,1,1,5,4
14776,2,3,4,2,2
14777,4,1,3,2,1
14779,5,4,5,4,2
14781,3,3,3,1,1
14782,5,4,5,1,1
14783,2,3,3,3,1
14784,5,4,2,3,1
14785,1,1,5,5,5
14786,3,2,1,3,2
14788,5,2,5,5,5
14789,3,1,4,2,1
14790,1,4,2,1,1
14791,5,5,2,3,3
14792,3,4,2,4,2
14793,2,3,2,2,1
14794,1,5,1,1,1
14795,3,3,3,1,1
14796,2,3,2,3,3
14797,5,1,1,2,1
14798,3,1,3,5,4
14799,5,3,1,1,1
14800,1,5,4,1,3
14801,1,1,1,1,1
14802,5,3,4,5,5
14803,5,4,4,3,2
14804,5,5,5,5,5
14812,4,1,3,2,3
14813,1,5,5,3,2
14814,4,4,4,3,3
14817,4,2,1,1,1
14830,5,3,3,3,3
14832,5,2,2,4,5
14833,1,3,1,1,1
14834,1,3,3,5,5
14835,5,5,5,1,1
