Month,Com-ID,Display_ID,Owner,Local_authority_area,Postcode,Domain,Number_of_sessions,Power_drawn_kWh,Number_of_faults,Uptime,Display_category
24-Dec,62545,62545,"ChargePlace Scotland, Fife Council",Fife,KY10 3AB,ChargePlace Scotland,0,0,0,100.00%,Public
24-Dec,60301,60301,"ChargePlace Scotland, Ayrshire Roads Alliance",East Ayrshire,KA18 4AN,ChargePlace Scotland,69,2144.35,1,95.50%,Public
24-Dec,70047,70047,"ChargePlace Scotland, DUMFRIES & GALLOWAY COUNCIL",Dumfries and Galloway,DG4 6NE,ChargePlace Scotland,30,828.68,1,98.50%,Public
24-Dec,62340,62340,"ChargePlace Scotland, Aberdeen City Council",Aberdeen City,AB11 9QQ,ChargePlace Scotland,2,3.6,0,100.00%,Public
24-Dec,62339,62339,"ChargePlace Scotland, Aberdeen City Council",Aberdeen City,AB11 9QQ,ChargePlace Scotland,1,1.06,0,100.00%,Public
24-Dec,62376,62376,"ChargePlace Scotland, Aberdeen City Council",Aberdeen City,AB10 1AL,ChargePlace Scotland,2,41.76,0,100.00%,Public
24-Dec,62534,62534,"ChargePlace Scotland, Aberdeen City Council",Aberdeen City,AB10 1ZU,ChargePlace Scotland,108,2316.73,3,83.70%,Public
24-Dec,70058,70058,"ChargePlace Scotland, Aberdeen City Council",Aberdeen City,AB10 7LN,ChargePlace Scotland,75,1657.73,0,97.40%,Public
24-Dec,62525,62525,"ChargePlace Scotland, Aberdeen City Council",Aberdeen City,AB10 7BA,ChargePlace Scotland,158,3698.39,0,89.20%,Public
24-Dec,62558,62558,"ChargePlace Scotland, North Ayrshire Council",North Ayrshire,KA11 2FD,ChargePlace Scotland,5,182.85,1,100.00%,Public
24-Dec,62729,62729,"ChargePlace Scotland, North Ayrshire Council",North Ayrshire,KA11 2FD,ChargePlace Scotland,1,21.04,1,100.00%,Public
24-Dec,62649,62649,"ChargePlace Scotland, North Ayrshire Council",North Ayrshire,KA11 2FD,ChargePlace Scotland,2,64.25,0,100.00%,Public
24-Dec,62648,62648,"ChargePlace Scotland, North Ayrshire Council",North Ayrshire,KA11 2FD,ChargePlace Scotland,3,100.83,0,100.00%,Public
24-Dec,62604,62604,"ChargePlace Scotland, North Ayrshire Council",North Ayrshire,KA11 2FD,ChargePlace Scotland,9,333.53,1,100.00%,Public
24-Dec,70076,70076,"ChargePlace Scotland, Aberdeen City Council",Aberdeen City,AB25 1BY,ChargePlace Scotland,0,0,1,100.00%,Public
24-Dec,70195,70195,"ChargePlace Scotland, Aberdeenshire Council",Aberdeenshire,AB51 3QS,ChargePlace Scotland,1,3.6,0,100.00%,Public
24-Dec,70194,70194,"ChargePlace Scotland, Aberdeenshire Council",Aberdeenshire,AB51 3QS,ChargePlace Scotland,2,7.6,0,100.00%,Public
24-Dec,70191,70191,"ChargePlace Scotland, Aberdeenshire Council",Aberdeenshire,AB42 1QF,ChargePlace Scotland,0,0,0,100.00%,Public
24-Dec,70190,70190,"ChargePlace Scotland, Aberdeenshire Council",Aberdeenshire,AB45 1BY,ChargePlace Scotland,1,14.1,0,100.00%,Public
24-Dec,70189,70189,"ChargePlace Scotland, Aberdeenshire Council",Aberdeenshire,AB51 5FW,ChargePlace Scotland,5,91.7,0,100.00%,Public
24-Dec,70188,70188,"ChargePlace Scotland, Aberdeenshire Council",Aberdeenshire,AB41 8LF,ChargePlace Scotland,1,57,0,100.00%,Public
24-Dec,70187,70187,"ChargePlace Scotland, Aberdeenshire Council",Aberdeenshire,AB32 6XZ,ChargePlace Scotland,0,0,1,100.00%,Public
24-Dec,70186,70186,"ChargePlace Scotland, Aberdeenshire Council",Aberdeenshire,AB32 6XZ,ChargePlace Scotland,4,22.2,0,100.00%,Public
24-Dec,70185,70185,"ChargePlace Scotland, Aberdeenshire Council",Aberdeenshire,AB32 6XZ,ChargePlace Scotland,2,65.4,0,100.00%,Public
24-Dec,70184,70184,"ChargePlace Scotland, Aberdeenshire Council",Aberdeenshire,AB12 4UR,ChargePlace Scotland,5,1.7,1,100.00%,Public
24-Dec,70183,70183,"ChargePlace Scotland, Aberdeenshire Council",Aberdeenshire,AB39 2DQ,ChargePlace Scotland,1,0,1,100.00%,Public
24-Dec,70182,70182,"ChargePlace Scotland, Aberdeenshire Council",Aberdeenshire,AB30 1ZJ,ChargePlace Scotland,1,29.8,0,100.00%,Public
24-Dec,70181,70181,"ChargePlace Scotland, Aberdeenshire Council",Aberdeenshire,AB30 1ZJ,ChargePlace Scotland,7,108.7,1,100.00%,Public
24-Dec,62110,62110,"ChargePlace Scotland, THE HIGHLAND COUNCIL",Highland,PH41 4PX,ChargePlace Scotland,11,167.32,0,98.90%,Public
24-Dec,FC18815,61348,"ChargePlace Scotland, ScotRail Trains Limited",Glasgow City,G68 9AA,ChargePlace Scotland,6,185.84,0,100.00%,Public
24-Dec,FC18614,61349,"ChargePlace Scotland, ScotRail Trains Limited",Midlothian,EH23 4JX,ChargePlace Scotland,44,707.38,0,100.00%,Public
24-Dec,FC18612,61347,"ChargePlace Scotland, ScotRail Trains Limited",Midlothian,EH22 3NX,ChargePlace Scotland,0,0,0,100.00%,Public
24-Dec,70055,70055,"ChargePlace Scotland, Fife Council",Fife,KY11 3BZ,ChargePlace Scotland,31,593.7,1,100.00%,Public
24-Dec,62469,62469,"ChargePlace Scotland, Aberdeen City Council",Aberdeen City,AB15 8UN,ChargePlace Scotland,7,254.29,0,100.00%,Public
24-Dec,62468,62468,"ChargePlace Scotland, Aberdeen City Council",Aberdeen City,AB15 8UN,ChargePlace Scotland,0,0,0,100.00%,Public
24-Dec,62467,62467,"ChargePlace Scotland, Aberdeen City Council",Aberdeen City,AB15 8UN,ChargePlace Scotland,18,471.34,0,100.00%,Public
24-Dec,62466,62466,"ChargePlace Scotland, Aberdeen City Council",Aberdeen City,AB15 8UN,ChargePlace Scotland,17,441.8,0,100.00%,Public
24-Dec,62834,62834,"ChargePlace Scotland, West Dunbartonshire Council",West Dunbartonshire,G83 8HS,ChargePlace Scotland,144,3305.77,0,96.40%,Public
