StudyID,PE1_PARFuture,I1_IMFuture,I2_IMForeigners,O1_FriendsImportant,O2_PeopleExpect,PE2_PARPractice,I3_IMEngSpeaker,O3_PeopleRespect,O4_PeersApproval,I4_IMLivingAbroad,I5_IMWritingEmail,O5_PeopleKnowledge,I6_IMUniversity,O6_LetOthersDown,PE3_PARTry,I7_IMEnglishFriends,I8_IMRoleModel,I9_IMNative,I10_FutureRequire,O7_PARDisappointed,O8_NegativeLife,O9_PAREducated,AgeYrs,Cohort,AgeGrp,PEScore,IL2Score,OL2Score
1,3,2,3,4,2,2,2,2,2,2,2,3,2,3,2,2,2,3,2,3,2,2,22,1,5,7,22,19
2,5,5,5,1,4,3,5,1,5,5,5,1,5,5,1,5,3,5,5,3,1,1,21,1,4,9,48,20
3,5,4,4,3,5,5,5,2,4,2,5,4,1,4,4,4,5,5,5,5,3,4,22,1,5,14,40,27
4,3,4,4,3,2,2,5,5,5,5,3,3,4,2,3,3,3,4,5,5,4,5,23,1,6,8,40,25
5,4,5,5,2,3,5,5,3,3,5,5,3,5,3,5,5,5,5,5,4,4,4,22,1,5,14,50,21
6,4,5,4,2,2,5,5,2,2,3,5,2,2,2,2,2,3,2,4,2,5,5,21,1,4,11,35,14
7,5,5,5,5,5,5,4,5,5,5,4,5,5,5,5,3,3,3,5,5,5,5,23,1,6,15,42,35
8,4,4,4,1,1,3,4,1,1,4,4,1,5,1,3,4,3,4,4,1,4,1,23,1,6,10,40,7
9,5,5,4,1,1,5,5,1,2,4,2,2,3,3,5,4,4,3,5,4,5,4,22,1,5,15,39,14
10,5,5,5,4,5,5,5,4,5,5,5,4,5,1,4,4,5,5,5,4,3,4,23,1,6,14,49,27
11,5,4,5,2,2,5,3,2,2,4,2,1,5,2,5,3,2,2,3,3,2,4,22,1,5,15,33,14
12,3,5,5,3,3,2,5,1,2,5,5,2,5,2,3,5,5,5,5,2,5,3,23,1,6,8,50,15
13,5,4,4,4,5,5,5,5,5,5,4,3,5,4,4,5,4,3,5,3,5,5,22,1,5,14,44,29
14,5,5,4,1,1,5,5,1,2,4,2,2,3,3,5,4,4,3,5,4,5,4,22,1,5,15,39,14
15,1,1,2,2,2,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,2,1,23,1,6,3,11,11
16,4,4,4,2,3,3,4,2,2,4,4,2,4,2,2,4,4,4,4,2,4,4,22,1,5,9,40,15
17,5,5,5,4,3,3,5,3,3,5,5,5,5,3,3,5,5,5,5,5,5,5,22,1,5,11,50,26
18,4,4,4,1,1,4,5,1,1,4,4,1,4,1,3,4,4,4,4,1,4,1,23,1,6,11,41,7
19,2,5,5,1,3,2,5,2,2,5,5,2,5,2,2,5,5,5,5,2,5,3,19,1,2,6,50,14
20,5,4,4,5,4,4,4,4,4,4,4,4,4,5,2,4,4,4,4,3,3,3,24,1,6,11,40,29
21,5,5,5,2,2,5,5,2,4,5,5,4,5,4,5,5,5,5,5,5,5,5,23,1,6,15,50,23
22,3,2,3,5,4,2,5,5,4,5,5,5,5,3,3,4,4,4,4,3,5,3,23,1,6,8,41,29
23,4,2,3,1,4,3,3,4,4,4,4,2,5,4,3,3,3,3,5,3,5,4,22,1,5,10,35,22
24,5,5,5,1,1,5,5,5,5,5,5,5,5,1,5,5,5,3,5,5,5,5,23,1,6,15,48,23
25,2,5,5,1,1,4,5,3,1,5,5,3,5,1,1,5,5,5,5,1,5,3,22,1,5,7,50,11
26,5,4,1,1,5,4,2,5,5,4,2,5,2,4,5,2,2,1,5,5,5,5,23,1,6,14,25,30
27,5,4,4,5,5,5,5,5,3,2,3,4,2,2,5,5,4,3,4,4,5,4,18,1,1,15,36,28
28,5,5,4,3,5,5,4,2,3,4,3,3,5,2,5,5,3,3,5,2,5,4,21,1,4,15,41,20
29,4,5,5,2,3,3,4,2,1,3,4,1,4,1,5,3,5,5,5,5,5,3,21,1,4,12,43,15
30,5,5,5,3,3,5,5,3,4,5,5,4,5,2,2,5,4,4,3,5,2,3,27,1,6,12,46,24
31,2,5,5,1,1,1,5,1,1,5,5,1,5,1,1,5,5,5,5,1,3,2,21,1,4,4,50,7
32,2,5,5,2,2,3,5,2,2,5,5,1,5,1,2,5,5,5,4,2,1,1,25,1,6,7,49,12
33,5,4,4,2,3,2,5,4,3,4,2,3,3,4,4,5,2,2,5,2,4,4,21,1,4,11,36,21
34,5,4,4,2,3,2,5,4,3,4,2,3,3,4,4,5,2,2,5,2,4,4,21,1,4,11,36,21
35,5,5,5,3,5,5,5,3,5,5,5,3,5,5,5,5,5,4,5,3,1,5,22,1,5,15,49,27
36,5,5,5,1,1,5,5,1,1,4,5,2,4,2,4,5,5,5,5,4,5,4,22,1,5,14,48,12
37,5,5,5,3,2,5,5,4,4,5,5,3,5,3,5,5,5,5,5,4,5,5,21,1,4,15,50,23
38,5,5,4,3,3,5,4,2,3,5,5,3,5,4,4,5,4,4,4,4,3,3,22,1,5,14,45,22
39,5,4,4,1,3,2,3,1,5,4,2,5,4,4,4,3,2,2,5,4,5,4,21,1,4,11,33,23
40,5,4,5,2,4,5,5,2,5,5,5,4,4,1,5,5,5,5,5,5,4,3,21,1,4,15,48,23
41,5,5,4,1,1,3,4,2,1,3,5,1,3,1,4,3,3,4,5,1,3,3,22,1,5,12,39,8
42,5,4,4,3,3,5,5,4,3,4,4,3,5,3,5,4,4,4,4,3,5,4,22,1,5,15,42,22
43,5,5,5,3,3,5,5,3,4,5,5,3,5,1,3,5,5,5,5,3,1,3,20,1,3,13,50,20
44,5,5,4,3,5,5,4,2,3,4,3,3,5,2,5,5,3,3,5,2,5,4,21,1,4,15,41,20
45,5,5,5,1,5,3,5,3,3,3,3,3,3,3,3,4,3,2,4,2,4,3,22,1,5,11,37,20
46,4,1,1,4,4,4,1,1,1,1,1,2,1,3,3,3,1,1,1,2,3,1,24,1,6,11,12,17
